TimestepsSoFar,EpLenMean,EpTrueRewMean,ev_tdlam_before,meankl,EpThisIter,EpRewMean,EpisodesSoFar,entloss,optimgain,TimeElapsed,entropy,surrgain
696231,878.175,2475.943593997562,0.5607267022132874,0.009224847,1,2475.943593997562,641,0.0,0.062389027,824.9124639034271,3.1890163,0.062389027
698112,868.85,2454.5109873762217,0.9457261264324188,0.00987039,1,2454.5109873762217,642,0.0,0.060263112,828.7696197032928,3.2262177,0.060263112
701112,868.85,2458.1754979668794,-0.047185659408569336,0.010528218,1,2458.1754979668794,643,0.0,0.047818363,832.5875301361084,3.1821685,0.047818363
704112,887.975,2512.4280706143827,-0.1898808479309082,0.009489043,1,2512.4280706143827,644,0.0,0.062174637,836.3847513198853,3.1547554,0.062174637
707112,891.775,2521.7694894439874,-0.025956034660339355,0.014078084,1,2521.7694894439874,645,0.0,0.04574459,840.0388922691345,3.154472,0.04574459
710112,907.775,2568.0212504238834,-0.023424863815307617,0.010019313,1,2568.0212504238834,646,0.0,0.049606174,843.7291505336761,3.218696,0.049606174
712302,901.025,2548.60350677697,0.9253949001431465,0.009343574,1,2548.60350677697,647,0.0,0.05876349,847.6089444160461,3.2339873,0.05876349
715302,901.025,2551.5961155031173,0.03241002559661865,0.008585014,1,2551.5961155031173,648,0.0,0.055025216,851.3991405963898,3.1889133,0.055025216
717465,882.3,2496.6785129123678,0.7059436440467834,0.010308769,2,2496.6785129123678,650,0.0,0.050801508,855.1219968795776,3.1186924,0.050801508
720465,882.3,2497.829338412002,-0.05815160274505615,0.0105310595,1,2497.829338412002,651,0.0,0.041540455,858.8666212558746,3.0954075,0.041540455
723465,893.675,2526.551857420544,0.014100074768066406,0.009525951,1,2526.551857420544,652,0.0,0.0405295,862.5393490791321,3.0347085,0.0405295
726465,893.675,2531.788091281623,0.12082546949386597,0.009288242,1,2531.788091281623,653,0.0,0.048483394,866.2410430908203,3.073448,0.048483394
729465,893.675,2532.39381820855,0.5671144127845764,0.010182017,1,2532.39381820855,654,0.0,0.05161838,869.9585127830505,3.0030131,0.05161838
733926,880.85,2500.7863285508174,0.718935638666153,0.0092667155,2,2500.7863285508174,656,0.0,0.05999298,873.6843705177307,2.9867783,0.05999298
736926,880.85,2499.848876803046,0.06446605920791626,0.0113034025,1,2499.848876803046,657,0.0,0.053819507,877.3825395107269,2.999278,0.053819507
739926,880.85,2498.3282893193427,0.043419063091278076,0.008557197,1,2498.3282893193427,658,0.0,0.05128353,881.0556674003601,2.94043,0.05128353
742926,880.85,2496.1973119773793,0.9121211767196655,0.010198502,1,2496.1973119773793,659,0.0,0.072549835,884.7435622215271,2.9341729,0.072549835
