EpisodesSoFar,TimestepsSoFar,surrgain,EpLenMean,optimgain,EpTrueRewMean,EpThisIter,entloss,entropy,ev_tdlam_before,EpRewMean,TimeElapsed,meankl
494,417354,0.08909498,694.275,0.08909498,1867.0656935304273,1,0.0,7.1838546,0.22150754928588867,1867.0656935304273,561.8794498443604,0.009994891
496,421779,0.08268628,709.1,0.08268628,1906.5712186683638,2,0.0,7.1840215,0.628820151090622,1906.5712186683638,566.0477342605591,0.008186572
497,423414,0.0964662,709.475,0.0964662,1890.4076898675617,1,0.0,7.168092,0.844221755862236,1890.4076898675617,570.0840349197388,0.009526928
499,428400,0.10427165,717.275,0.10427165,1926.043772849383,2,0.0,7.157226,0.9049775749444962,1926.043772849383,574.0550448894501,0.008820199
500,431400,0.07041776,738.85,0.07041776,1988.6977865719114,1,0.0,7.1228185,0.14735525846481323,1988.6977865719114,577.9698209762573,0.008856569
501,432465,0.08247599,729.2,0.08247599,1968.198854889554,1,0.0,7.1072354,0.8800329938530922,1968.198854889554,581.9523515701294,0.009183846
503,434610,0.0993514,703.775,0.0993514,1888.6703737678158,2,0.0,7.075806,0.7805047333240509,1888.6703737678158,585.8744421005249,0.008121204
506,438906,0.093906626,691.125,0.093906626,1871.9067189614057,3,0.0,7.0335097,0.9116188138723373,1871.9067189614057,589.9127249717712,0.00784976
507,441906,0.100795895,691.125,0.100795895,1867.8244970287728,1,0.0,7.0409408,-0.21330702304840088,1867.8244970287728,593.953946352005,0.007891124
509,445914,0.089722484,679.725,0.089722484,1820.2298678166467,2,0.0,7.0636125,0.8895666375756264,1820.2298678166467,598.0975306034088,0.008940518
512,450729,0.13147339,645.5,0.13147339,1743.84186748619,3,0.0,7.0480304,0.9058957174420357,1743.84186748619,602.1658582687378,0.008922907
513,451647,0.10466508,635.425,0.10466508,1704.307127483374,1,0.0,7.0760937,0.8741660714149475,1704.307127483374,606.3354439735413,0.0097028855
514,454647,0.08971125,652.55,0.08971125,1752.9458043435727,1,0.0,7.091993,-0.36417508125305176,1752.9458043435727,610.4317555427551,0.008336926
515,457647,0.078807436,659.125,0.078807436,1790.217654522618,1,0.0,7.105943,0.1678043007850647,1790.217654522618,614.4310081005096,0.009840615
516,460647,0.084628366,673.325,0.084628366,1841.4956121792206,1,0.0,7.060258,0.16798901557922363,1841.4956121792206,618.5035848617554,0.009122043
517,463647,0.085739054,688.15,0.085739054,1890.4595670812155,1,0.0,7.038802,0.06528294086456299,1890.4595670812155,622.5183436870575,0.00898491
518,466647,0.07148338,696.4,0.07148338,1922.3866634216222,1,0.0,7.0624385,0.1342761516571045,1922.3866634216222,626.5486633777618,0.008812191
519,469647,0.06674889,705.25,0.06674889,1949.1808566111024,1,0.0,7.066542,0.10097640752792358,1949.1808566111024,630.5992021560669,0.008532339
522,474597,0.09178008,682.2,0.09178008,1875.487804421212,3,0.0,7.0945272,0.7285567820072174,1875.487804421212,634.6698572635651,0.008819723
524,480492,0.09519927,702.675,0.09519927,1967.5397975244782,2,0.0,7.098267,0.5509730279445648,1967.5397975244782,638.7141609191895,0.011054925
525,483492,0.08067019,718.575,0.08067019,2017.1944822112869,1,0.0,7.120362,0.08062851428985596,2017.1944822112869,642.7504034042358,0.009927004
526,486492,0.074936554,722.35,0.074936554,2029.011580954914,1,0.0,7.101271,-0.020529627799987793,2029.011580954914,646.8096623420715,0.008445615
527,489492,0.075256914,722.35,0.075256914,2026.8266390965225,1,0.0,7.0669727,0.24152719974517822,2026.8266390965225,650.8124134540558,0.008775787
529,493317,0.08489977,720.825,0.08489977,2025.9254393376148,2,0.0,7.0676837,0.9024490863084793,2025.9254393376148,654.7658727169037,0.007916614
530,495546,0.1046993,734.2,0.1046993,2074.5803508973754,1,0.0,7.0649858,0.8156589865684509,2074.5803508973754,658.947395324707,0.008921005
531,498546,0.07935565,734.2,0.07935565,2073.620097246448,1,0.0,7.0702376,-0.09426641464233398,2073.620097246448,663.2853765487671,0.008495178
532,501546,0.08009319,734.2,0.08009319,2061.196674456211,1,0.0,7.0545087,0.0033625364303588867,2061.196674456211,667.3673460483551,0.008801965
