EpLenMean,TimestepsSoFar,EpThisIter,ev_tdlam_before,optimgain,EpisodesSoFar,TimeElapsed,meankl,entropy,surrgain,entloss,EpRewMean,EpTrueRewMean
92.15,539616,11,0.8985764607787132,0.14969374,2468,993.0301089286804,0.0039466387,23.3794,0.14969374,0.0,469.1946649357671,469.1946649357671
93.65,542730,11,0.868219181895256,0.15301153,2479,998.628830909729,0.0038251316,23.378822,0.15301153,0.0,477.31407978208006,477.31407978208006
95.75,545844,10,0.8962110951542854,0.13990334,2489,1004.3418521881104,0.0039168624,23.37842,0.13990334,0.0,487.08822726757626,487.08822726757626
96.275,548868,10,0.9270372092723846,0.14902817,2499,1010.0700290203094,0.004027797,23.377016,0.14902817,0.0,492.01541512893874,492.01541512893874
100.05,551916,10,0.9175223484635353,0.1414229,2509,1015.7499811649323,0.0038192463,23.376202,0.1414229,0.0,511.3757035345017,511.3757035345017
98.625,554850,11,0.8900999948382378,0.1573948,2520,1021.3543844223022,0.0038773518,23.370539,0.1573948,0.0,502.4134963461205,502.4134963461205
97.325,558132,11,0.8584302961826324,0.31153148,2531,1027.0024943351746,0.014921377,23.363703,0.31153148,0.0,497.9144751589283,497.9144751589283
95.3,561222,11,0.8946889713406563,0.33534044,2542,1032.6358790397644,0.014753904,23.364508,0.33534044,0.0,484.81713513126414,484.81713513126414
94.525,564222,11,0.9022440388798714,0.28495097,2553,1038.2627415657043,0.014924912,23.36353,0.28495097,0.0,481.8218937658636,481.8218937658636
96.575,567306,10,0.8945710882544518,0.16787283,2563,1043.894199848175,0.0041501466,23.362389,0.16787283,0.0,494.7046172063776,494.7046172063776
94.925,570567,11,0.9146228730678558,0.17699257,2574,1049.5818195343018,0.0042395648,23.361818,0.17699257,0.0,481.88556363311136,481.88556363311136
97.0,573675,11,0.9183742329478264,0.33285367,2585,1055.2517788410187,0.014905544,23.363527,0.33285367,0.0,495.51531610596356,495.51531610596356
95.5,576693,11,0.9199655875563622,0.14182495,2596,1060.9493265151978,0.004107425,23.36434,0.14182495,0.0,488.7720815068686,488.7720815068686
95.45,579615,10,0.9232141226530075,0.29012406,2606,1066.5600652694702,0.014672123,23.361834,0.29012406,0.0,489.78354511351665,489.78354511351665
92.55,582582,11,0.9360801130533218,0.2870475,2617,1072.2748651504517,0.014680749,23.366617,0.2870475,0.0,478.0527559483323,478.0527559483323
