TimestepsSoFar,entropy,entloss,TimeElapsed,EpisodesSoFar,optimgain,EpThisIter,EpTrueRewMean,EpRewMean,meankl,surrgain,EpLenMean,ev_tdlam_before
150891,23.353823,0.0,315.88142943382263,929,0.21287948,14,368.87766029264003,46.269493,0.010321239,0.21287948,75.45,0.8370707631111145
153840,23.34318,0.0,322.30648493766785,943,0.24258819,14,353.94518846808904,41.290234,0.010743405,0.24258819,72.8,0.6840024292469025
156903,23.316,0.0,328.9044280052185,957,0.2615807,14,351.506040618758,41.977768,0.010686666,0.2615807,72.15,0.6802781820297241
160113,23.312986,0.0,335.4435122013092,970,0.2555218,13,367.5456185746909,46.835712,0.009636864,0.2555218,74.8,0.6917286217212677
163383,23.304464,0.0,341.8754165172577,985,0.27394024,15,379.94137823789697,47.21605,0.009905987,0.27394024,75.375,0.7288090884685516
166284,23.301836,0.0,348.46496963500977,997,0.231559,12,393.39209199175605,46.820126,0.010279603,0.231559,78.175,0.8236284404993057
169224,23.29468,0.0,355.03812742233276,1011,0.21827859,14,366.4657264009688,41.402824,0.0101315025,0.21827859,73.275,0.7993194609880447
172323,23.304853,0.0,361.4079074859619,1025,0.2322569,14,370.93985296086623,43.59359,0.010124589,0.2322569,74.5,0.7523631900548935
175416,23.306904,0.0,367.9487199783325,1038,0.2517388,13,370.5190954703999,46.975098,0.010842161,0.2517388,74.425,0.7543535679578781
178515,23.29785,0.0,374.52872490882874,1051,0.24661802,13,383.94000829516773,50.749958,0.010582505,0.24661802,77.425,0.7268776893615723
181596,23.299566,0.0,381.16110825538635,1065,0.25180328,14,377.69406138247905,50.24896,0.010818308,0.25180328,77.275,0.7904626280069351
184638,23.28605,0.0,387.83081793785095,1078,0.2187961,13,374.8287787150827,48.875225,0.010300059,0.2187961,76.85,0.7646009922027588
187827,23.270247,0.0,394.3847405910492,1091,0.24018009,13,381.5141018317446,49.384583,0.010437109,0.24018009,77.6,0.7623627036809921
190788,23.267906,0.0,400.9903054237366,1105,0.24409315,14,376.41576745882594,49.779793,0.0101505285,0.24409315,76.6,0.7484255731105804
193821,23.263895,0.0,407.4712862968445,1118,0.24383177,13,375.5279870947137,48.15556,0.011010233,0.24383177,76.525,0.744674414396286
196998,23.267658,0.0,414.10916781425476,1131,0.21958752,13,369.72656493557963,45.679314,0.011649082,0.21958752,76.425,0.7709494978189468
199944,23.26017,0.0,420.57131242752075,1145,0.2250075,14,372.65450918403474,45.018085,0.010955315,0.2250075,76.3,0.7674311399459839
202998,23.268072,0.0,427.10483956336975,1158,0.24774657,13,375.6828342033789,46.039986,0.010284591,0.24774657,76.475,0.8163115680217743
205995,23.280497,0.0,433.580011844635,1171,0.22526693,13,369.2721772511204,46.79167,0.011428129,0.22526693,74.975,0.8141987323760986
209106,23.301191,0.0,440.0533685684204,1183,0.25553042,12,393.19544849360346,48.432606,0.01154558,0.25553042,80.425,0.7018422782421112
212064,23.2924,0.0,446.4626421928406,1196,0.25662404,13,389.74543331268853,49.531883,0.01092737,0.25662404,80.225,0.6279468238353729
215298,23.293962,0.0,452.9438741207123,1210,0.22726469,14,388.448968479663,50.65365,0.011486054,0.22726469,79.45,0.8119308203458786
218310,23.291811,0.0,459.44832372665405,1222,0.24954912,12,383.5009793116043,53.86974,0.012382454,0.24954912,78.225,0.7443926334381104
221310,23.289082,0.0,465.91637444496155,1234,0.22541082,12,397.23245083003195,55.15859,0.010939502,0.22541082,81.175,0.8001584410667419
224394,23.27564,0.0,472.4492471218109,1249,0.23865531,15,376.6395186057445,47.485443,0.011071683,0.23865531,77.25,0.7112876772880554
227343,23.286543,0.0,478.8887300491333,1260,0.32050693,11,387.6208032784718,49.809853,0.011211894,0.32050693,79.65,0.7085758149623871
230247,23.289614,0.0,485.41434121131897,1271,0.3214922,11,396.65098562242343,54.891132,0.012146311,0.3214922,81.1,0.8249142467975616
233295,23.29069,0.0,492.0424585342407,1284,0.2652768,13,400.7006306389212,55.569824,0.011420844,0.2652768,82.125,0.8057488203048706
236376,23.287287,0.0,498.5323555469513,1297,0.25109145,13,403.84160818083166,55.031563,0.0122539615,0.25109145,81.775,0.767454206943512
239454,23.30926,0.0,505.01307439804077,1309,0.24088052,12,403.128492276937,52.8005,0.011833364,0.24088052,81.75,0.7016164362430573
242541,23.311762,0.0,511.5921149253845,1322,0.22852069,13,403.2082972081961,54.274292,0.011399291,0.22852069,80.55,0.6986611485481262
245640,23.32105,0.0,518.1288421154022,1336,0.2844566,14,400.30930295914794,55.25639,0.012249933,0.2844566,79.65,0.6046516299247742
248559,23.3164,0.0,524.6531167030334,1347,0.26670858,11,398.7738820369185,53.752625,0.011149503,0.26670858,79.575,0.7853679805994034
251688,23.323711,0.0,531.18634557724,1360,0.26282728,13,400.9447240886767,54.730415,0.012101928,0.26282728,79.55,0.828861802816391
254643,23.335917,0.0,537.7577798366547,1371,0.24204603,11,425.3872538624428,62.39394,0.010824178,0.24204603,84.975,0.8597721010446548
257814,23.33636,0.0,544.3006162643433,1384,0.22554192,13,424.7470062594718,62.328247,0.01173559,0.22554192,85.125,0.8589037358760834
260979,23.323908,0.0,550.9768986701965,1397,0.23410897,13,414.9324658256539,58.3466,0.012126472,0.23410897,83.275,0.8359097838401794
264072,23.31403,0.0,557.394537448883,1411,0.2556451,14,391.1118930033713,54.24339,0.011224862,0.2556451,78.575,0.8249988853931427
