entloss,EpRewMean,EpisodesSoFar,optimgain,entropy,EpTrueRewMean,EpLenMean,ev_tdlam_before,meankl,TimestepsSoFar,EpThisIter,surrgain,TimeElapsed
0.0,509.05402,451,0.04845006,3.092613,2109.4222857077466,625.65,-0.07608866691589355,0.009728096,599295,1,0.04845006,816.1300420761108
0.0,497.98615,452,0.06163039,3.0925522,2062.803249403668,611.55,0.9852080456912518,0.011353491,600603,1,0.06163039,820.3942005634308
0.0,504.5187,453,0.048699647,3.0752468,2087.150180042411,618.475,0.957553930580616,0.009543771,603228,1,0.048699647,824.6950359344482
0.0,509.0869,454,0.056424677,3.0632653,2104.510675883031,623.075,0.98643743339926,0.009826459,605184,1,0.056424677,828.9575960636139
0.0,509.95312,455,0.050053373,3.0233433,2105.506946378447,623.075,0.6906124353408813,0.0093815215,608184,1,0.050053373,833.2227430343628
0.0,512.2851,456,0.057445966,3.0447972,2109.423620125692,623.075,0.9224715679883957,0.00952509,611184,1,0.057445966,837.528591632843
0.0,508.43515,458,0.06185164,2.9733808,2086.302325619323,612.0,0.9838889520615339,0.010565045,615855,2,0.06185164,841.730221748352
0.0,490.61517,460,0.062452983,2.96231,2001.5282220838985,585.2,0.9628659784793854,0.0103782695,618639,2,0.062452983,845.9397611618042
0.0,475.93066,463,0.048971545,2.910278,1945.0757460830016,566.975,0.8115575760602951,0.010155502,623595,3,0.048971545,850.2079982757568
0.0,474.7545,465,0.06208623,2.8844504,1956.014456403103,568.675,0.9892198387533426,0.010474664,627609,2,0.06208623,854.7749116420746
0.0,473.1209,466,0.059698015,2.9037497,1953.1409420771422,568.9,0.6012707054615021,0.013396369,630609,1,0.059698015,859.0513823032379
0.0,488.2216,467,0.039729834,2.9455967,2015.6214653019865,587.825,0.4801393747329712,0.009640869,633609,1,0.039729834,863.301792383194
0.0,488.0634,468,0.03770795,2.9530866,2015.5392423721569,587.825,-0.03580141067504883,0.009362562,636609,1,0.03770795,867.5074377059937
0.0,502.41302,469,0.0441233,3.0118632,2078.0764176373013,605.95,0.04596668481826782,0.01048116,639609,1,0.0441233,871.7413177490234
0.0,515.43335,470,0.049724847,2.9462898,2135.9645641105326,624.125,-0.12266147136688232,0.011652065,642609,1,0.049724847,876.033438205719
0.0,529.7232,471,0.06348211,2.9409263,2197.307521628615,641.575,0.9845714718103409,0.010167494,645384,1,0.06348211,880.3311066627502
0.0,539.8601,472,0.06739,2.9260278,2237.8179321007583,652.35,0.9920016638934612,0.010509264,647178,1,0.06739,884.6346526145935
0.0,534.0044,473,0.06490877,2.9363325,2212.1338945610682,645.25,0.9350844696164131,0.009257271,647868,1,0.06490877,888.9264311790466
0.0,522.90466,476,0.07229748,2.959564,2160.6672385820393,631.575,0.8369002789258957,0.009506416,650271,3,0.07229748,893.2312788963318
0.0,527.6074,479,0.064465,2.9257102,2178.643768228675,637.5,0.8174912482500076,0.0101390835,654573,3,0.064465,897.5151236057281
0.0,525.53564,481,0.06723757,2.96124,2171.1405066124657,633.6,0.9866702575236559,0.010499772,656943,2,0.06723757,901.7647006511688
0.0,539.0812,482,0.056169644,2.9282248,2223.977155914672,649.75,0.006068706512451172,0.012729828,659943,1,0.056169644,906.0402567386627
0.0,544.12317,483,0.0580017,2.9561741,2244.0493482495413,655.45,0.9692146889865398,0.00977811,661896,1,0.0580017,910.2993450164795
0.0,556.8107,484,0.04272176,2.9356914,2294.6637961282677,670.55,0.018612980842590332,0.009529288,664896,1,0.04272176,914.5996789932251
0.0,549.33575,486,0.06593496,2.915688,2260.790677880562,657.2,0.9783661309629679,0.010270445,668022,2,0.06593496,918.9016304016113
0.0,550.7925,488,0.051410384,2.9284282,2266.155299694843,655.775,0.9643629007041454,0.009681956,671127,2,0.051410384,923.1895306110382
0.0,546.0752,489,0.061403107,2.906045,2248.310040921211,650.425,0.9882314810529351,0.009997194,673311,1,0.061403107,927.4504384994507
0.0,547.1484,491,0.07742542,2.9387736,2253.6159114020206,651.75,0.6766223013401031,0.010194313,677505,2,0.07742542,931.7813425064087
