EpisodesSoFar,entloss,entropy,optimgain,EpThisIter,TimeElapsed,TimestepsSoFar,EpRewMean,ev_tdlam_before,meankl,surrgain,EpTrueRewMean,EpLenMean
504,0.0,3.5406885,0.048542343,2,882.0159952640533,745539,2762.702855181763,0.07438874244689941,0.0092434585,0.048542343,2762.702855181763,920.125
505,0.0,3.536353,0.061595604,1,885.6883664131165,746673,2717.3493974401144,0.9522272422909737,0.009084437,0.061595604,2717.3493974401144,904.575
506,0.0,3.533509,0.045010526,1,889.3712093830109,749673,2738.0801930599273,-0.04165482521057129,0.01062007,0.045010526,2738.0801930599273,912.525
507,0.0,3.5221322,0.046830963,1,893.1284382343292,752673,2760.0159383759856,0.06425708532333374,0.008989822,0.046830963,2760.0159383759856,920.575
509,0.0,3.5553582,0.05873123,2,896.776337146759,757377,2732.735513922409,0.6833248138427734,0.0105127,0.05873123,2732.735513922409,909.775
510,0.0,3.561859,0.058913544,1,900.4247491359711,759336,2725.5945150278526,0.9675595946609974,0.009075384,0.058913544,2725.5945150278526,907.2
512,0.0,3.5738304,0.059529014,2,904.1615679264069,764034,2697.9862143004675,0.7354077696800232,0.00922718,0.059529014,2697.9862143004675,896.35
513,0.0,3.5534039,0.06042458,1,907.8917593955994,766104,2678.8181661612275,0.932369202375412,0.009908546,0.06042458,2678.8181661612275,888.6
515,0.0,3.5536108,0.06369115,2,911.5962014198303,768219,2621.111983785076,0.9558064825832844,0.010146286,0.06369115,2621.111983785076,868.35
516,0.0,3.5453255,0.042165525,1,915.2503371238708,771219,2623.970840040294,-0.09465324878692627,0.009563334,0.042165525,2623.970840040294,868.35
517,0.0,3.5491095,0.0551061,1,918.9430487155914,774045,2620.1678168778026,0.03370267152786255,0.009462796,0.0551061,2620.1678168778026,866.9
518,0.0,3.5294168,0.065623626,1,922.650120973587,776070,2599.360227024834,0.9746413696557283,0.008696616,0.065623626,2599.360227024834,858.775
519,0.0,3.5464559,0.036284357,1,926.375540971756,779070,2598.887358031227,0.013271987438201904,0.009000628,0.036284357,2598.887358031227,858.775
