EpTrueRewMean,ev_tdlam_before,TimestepsSoFar,EpLenMean,meankl,optimgain,EpThisIter,entropy,surrgain,EpisodesSoFar,entloss,TimeElapsed,EpRewMean
321.8909925533315,0.7529537379741669,71190,67.375,0.008401683,0.17388323,16,23.879719,0.17388323,539,0.0,128.65699696540833,67.36723
315.4104242717728,0.7867594957351685,74115,65.55,0.009033171,0.19091982,15,23.895916,0.19091982,554,0.0,134.33232522010803,63.534443
327.3884279803269,0.8268327414989471,77262,67.225,0.009050181,0.20841298,14,23.881428,0.20841298,568,0.0,140.04522395133972,67.201096
350.0756394627039,0.732561856508255,80652,71.35,0.008965658,0.1883209,16,23.871828,0.1883209,584,0.0,145.67081236839294,73.036354
332.6615204044878,0.7484163045883179,83562,67.1,0.008511664,0.16332403,16,23.850895,0.16332403,600,0.0,151.34109091758728,69.78733
307.07185483678614,0.8445972055196762,86790,62.05,0.009806439,0.18628927,18,23.849672,0.18628927,618,0.0,157.11874341964722,58.484215
304.9234672513864,0.7405960261821747,89841,61.65,0.009076603,0.19943275,16,23.832516,0.19943275,634,0.0,162.86803555488586,62.13273
308.46290029892936,0.784221738576889,92988,63.025,0.009282732,0.19022676,16,23.810366,0.19022676,650,0.0,168.6039605140686,65.59454
324.7919232109837,0.7760976403951645,96108,66.4,0.008409271,0.1770473,16,23.783955,0.1770473,666,0.0,174.2688753604889,69.11964
327.4691904885951,0.8078632652759552,99084,66.6,0.009307411,0.20280217,14,23.754148,0.20280217,680,0.0,180.08228754997253,65.73389
326.4263686277192,0.8434587270021439,102216,66.225,0.009948369,0.21037439,16,23.766539,0.21037439,696,0.0,185.80126929283142,65.70178
338.1180199223725,0.8305315673351288,105315,67.8,0.009722834,0.20474294,15,23.779617,0.20474294,711,0.0,191.60586547851562,66.14952
322.8405796123731,0.845494955778122,108468,65.1,0.009164294,0.19632503,17,23.783365,0.19632503,728,0.0,197.34336042404175,59.66931
319.7295424907966,0.8013662546873093,111462,65.1,0.009541715,0.22307825,15,23.754576,0.22307825,743,0.0,203.1745445728302,60.145203
