entloss,optimgain,EpRewMean,TimestepsSoFar,EpTrueRewMean,meankl,ev_tdlam_before,EpThisIter,TimeElapsed,EpLenMean,surrgain,EpisodesSoFar,entropy
0.0,0.29724705,63.664238,379650,460.8816605504365,0.013207009,0.8230441808700562,12,840.2359278202057,91.15,0.29724705,1781,23.291323
0.0,0.28852808,61.003624,382650,449.602252388734,0.013523309,0.8471083790063858,11,847.0000431537628,88.925,0.28852808,1792,23.29632
0.0,0.26631653,59.34259,385629,464.3748369509928,0.0136550125,0.8807754367589951,10,853.8483364582062,91.7,0.26631653,1802,23.299318
0.0,0.14143755,61.62484,388689,450.0391928522655,0.0038481364,0.8217690289020538,12,860.6360783576965,89.475,0.14143755,1814,23.298359
0.0,0.28589058,64.34092,391788,465.2846513158118,0.013886718,0.8528592586517334,12,867.4595417976379,91.425,0.28589058,1826,23.299334
0.0,0.30148724,64.386314,394911,445.8666891674623,0.014411071,0.8694065362215042,11,874.2218990325928,88.675,0.30148724,1837,23.294611
0.0,0.14569864,67.91521,397905,459.98852908669534,0.003918609,0.8083314746618271,10,880.9401140213013,91.95,0.14569864,1847,23.28913
0.0,0.2462109,65.050575,400860,456.616901339755,0.014102286,0.8979641944169998,11,887.6906819343567,92.75,0.2462109,1858,23.292154
0.0,0.2876572,69.63566,404028,474.2982213949017,0.0139005855,0.8322954624891281,11,894.4581394195557,95.525,0.2876572,1869,23.293375
0.0,0.27576834,66.463715,407025,472.6148606961463,0.013249655,0.8736566007137299,10,901.2619361877441,96.0,0.27576834,1879,23.292742
0.0,0.27479768,63.933582,410193,468.1404847685062,0.014588124,0.8198561519384384,12,907.998104095459,94.175,0.27479768,1891,23.29101
0.0,0.27903074,66.57727,413166,485.01489224594735,0.013622791,0.8448055982589722,10,914.7966833114624,96.45,0.27903074,1901,23.292974
0.0,0.28029823,62.57041,416412,464.64484435563145,0.014742839,0.8246644586324692,12,921.531512260437,92.2,0.28029823,1913,23.29069
0.0,0.34004724,67.30414,419457,454.8835771143049,0.014035203,0.8538423180580139,12,928.3765778541565,90.2,0.34004724,1925,23.296614
0.0,0.3160505,63.051796,422460,430.82850879417913,0.014434391,0.8770426660776138,12,935.1630613803864,86.475,0.3160505,1937,23.29639
0.0,0.31808454,63.361206,425760,432.6970889799604,0.013575595,0.8285260498523712,11,942.0163853168488,87.15,0.31808454,1948,23.293049
0.0,0.26362005,68.43486,428688,463.851585750326,0.013856504,0.8732360154390335,9,948.7846767902374,94.075,0.26362005,1957,23.289972
0.0,0.3189081,66.47439,431766,470.1393539039589,0.013980446,0.884778194129467,11,955.6042768955231,95.125,0.3189081,1968,23.291338
0.0,0.13999714,70.12683,434736,497.8237335841453,0.0038599777,0.8387947976589203,10,962.4200963973999,99.9,0.13999714,1978,23.297342
0.0,0.2916847,67.35449,438024,489.324366023183,0.013804705,0.8750299513339996,11,969.4996347427368,98.3,0.2916847,1989,23.29616
0.0,0.31756026,66.79849,441018,503.0444073676855,0.014837094,0.899028405547142,9,976.3199343681335,100.525,0.31756026,1998,23.292791
0.0,0.27880546,67.82217,444159,511.29793248741214,0.013978027,0.870668813586235,11,983.0417113304138,101.15,0.27880546,2009,23.293707
0.0,0.2991256,65.4409,447456,503.6450539954536,0.0141692255,0.8488242626190186,11,989.7644643783569,99.775,0.2991256,2020,23.29313
0.0,0.26147854,66.758965,450549,504.89957974604994,0.01362886,0.8432205617427826,11,996.4832422733307,98.95,0.26147854,2031,23.300114
0.0,0.2896265,67.0433,453549,486.84344511723884,0.013618698,0.7998550683259964,11,1003.2350533008575,95.275,0.2896265,2042,23.297365
0.0,0.29787654,66.36477,456546,488.61126276927945,0.014978554,0.8888473808765411,10,1010.0479741096497,95.825,0.29787654,2052,23.29157
0.0,0.3158376,67.67866,459603,477.68074001693657,0.01406533,0.8346830159425735,11,1016.8085517883301,94.65,0.3158376,2063,23.289812
0.0,0.30365306,64.060036,462558,458.2975520699564,0.0138461385,0.8402665257453918,12,1023.5844101905823,91.7,0.30365306,2075,23.288576
0.0,0.25987762,62.569954,465723,444.5578133222398,0.012996417,0.8941732421517372,12,1030.328397512436,90.15,0.25987762,2087,23.281984
0.0,0.15018699,62.279613,468570,433.6289629920061,0.0038442195,0.810635045170784,10,1037.139361858368,87.575,0.15018699,2097,23.276632
0.0,0.328821,64.82749,471444,466.4567433555195,0.014821108,0.8612252771854401,9,1043.8382139205933,93.075,0.328821,2106,23.275654
0.0,0.29896665,68.25584,474642,486.88081278769477,0.014318514,0.8689991384744644,11,1050.5301501750946,96.975,0.29896665,2117,23.278337
0.0,0.30098537,72.52899,477708,519.8068101540769,0.0138910925,0.8643300533294678,9,1057.3071193695068,102.475,0.30098537,2126,23.276613
0.0,0.26980436,73.869415,480492,528.4452766660991,0.014547177,0.8561071157455444,9,1063.9384472370148,103.925,0.26980436,2135,23.274496
