EpRewMean,ev_tdlam_before,TimestepsSoFar,EpTrueRewMean,EpisodesSoFar,entropy,optimgain,surrgain,meankl,EpThisIter,EpLenMean,TimeElapsed,entloss
94.01498,0.8410485237836838,421797,467.4870859862702,1928,23.434065,0.3201999,0.3201999,0.0127824545,10,94.075,1250.5395374298096,0.0
93.51875,0.8582657277584076,424674,458.0035684940872,1939,23.420187,0.2718348,0.2718348,0.013705736,11,92.15,1259.7354588508606,0.0
96.50166,0.8786951005458832,427740,478.3680394319007,1949,23.417173,0.261248,0.261248,0.013098995,10,96.625,1268.9532289505005,0.0
96.02017,0.8893354684114456,430791,477.75604761377707,1960,23.416498,0.26239455,0.26239455,0.01291148,11,95.425,1278.149938583374,0.0
93.53731,0.8619247376918793,433818,467.09245714258395,1971,23.417303,0.26743585,0.26743585,0.012586073,11,93.075,1287.3974862098694,0.0
93.60689,0.892985574901104,436839,471.71357733702644,1982,23.415937,0.15018481,0.15018481,0.0037654643,11,93.525,1296.7095589637756,0.0
91.583694,0.8588409721851349,439836,458.6360011748984,1993,23.416666,0.24127215,0.24127215,0.012266299,11,90.85,1306.3471856117249,0.0
91.36632,0.8852670937776566,442761,455.84341094203126,2003,23.420654,0.27010906,0.27010906,0.013020245,10,91.8,1315.6549062728882,0.0
93.534,0.9035800993442535,445785,473.0203005068312,2013,23.426271,0.27899364,0.27899364,0.0136984475,10,95.025,1325.003220319748,0.0
92.46192,0.8775385245680809,448776,470.5970324782278,2024,23.42391,0.31447983,0.31447983,0.014299018,11,94.9,1334.292099237442,0.0
90.28218,0.8934159427881241,451992,461.19405371927826,2036,23.423502,0.26776105,0.26776105,0.01296631,12,92.925,1343.4923996925354,0.0
91.407455,0.861831396818161,455211,475.199388414257,2047,23.418926,0.28712338,0.28712338,0.013223596,11,95.35,1352.666093826294,0.0
